"120,4.00,1,8,PACKAGING_DÉCHIRÉ	 PAS_TRIANGLE,?	"
"121,4.04,1,8,PACKAGING_DÉCHIRÉ	 PAS_TRIANGLE,?	"
"122,4.07,1,8,PACKAGING_DÉCHIRÉ	 PAS_TRIANGLE,?	"
"123,4.10,1,8,PACKAGING_DÉCHIRÉ	 PAS_TRIANGLE,?	"
"124,4.14,0,,Aucune,		"
"125,4.17,0,,Aucune,		"
"126,4.20,0,,Aucune,		"
"127,4.24,0,,Aucune,		"
"128,4.27,1,9,PACKAGING_DÉCHIRÉ	 PAS_TRIANGLE,?	"
"129,4.30,1,9,PACKAGING_DÉCHIRÉ	 PAS_TRIANGLE,?	"
"130,4.34,0,,Aucune,		"
"131,4.37,0,,Aucune,		"
"132,4.40,0,,Aucune,		"
"133,4.44,0,,Aucune,		"
"134,4.47,0,,Aucune,		"
"135,4.50,0,,Aucune,		"
"136,4.54,0,,Aucune,		"
"137,4.57,0,,Aucune,		"
"138,4.60,0,,Aucune,		"
"139,4.64,0,,Aucune,		"
"140,4.67,0,,Aucune,		"
"141,4.70,0,,Aucune,		"
"142,4.74,0,,Aucune,		"
"143,4.77,0,,Aucune,		"
"144,4.80,0,,Aucune,		"
"145,4.84,0,,Aucune,		"
"146,4.87,0,,Aucune,		"
"147,4.90,0,,Aucune,		"
"148,4.94,0,,Aucune,		"
"149,4.97,0,,Aucune,		"
"150,5.00,0,,Aucune,		"
"151,5.04,0,,Aucune,		"
"152,5.07,0,,Aucune,		"
"153,5.10,0,,Aucune,		"
"154,5.14,0,,Aucune,		"
"155,5.17,0,,Aucune,		"
"156,5.20,0,,Aucune,		"
"157,5.24,0,,Aucune,		"
"158,5.27,0,,Aucune,		"
"159,5.30,0,,Aucune,		"
"160,5.34,0,,Aucune,		"
"161,5.37,0,,Aucune,		"
"162,5.40,0,,Aucune,		"
"163,5.44,0,,Aucune,		"
"164,5.47,0,,Aucune,		"
"165,5.50,0,,Aucune,		"
"166,5.54,0,,Aucune,		"
"167,5.57,0,,Aucune,		"
"168,5.60,0,,Aucune,		"
"169,5.64,0,,Aucune,		"
"170,5.67,1,10,PACKAGING_DÉCHIRÉ	 PAS_TRIANGLE,?	"
"171,5.70,0,,Aucune,		"
"172,5.74,0,,Aucune,		"
"173,5.77,0,,Aucune,		"
"174,5.80,0,,Aucune,		"
"175,5.84,0,,Aucune,		"
"176,5.87,0,,Aucune,		"
"177,5.90,0,,Aucune,		"
"178,5.94,0,,Aucune,		"
"179,5.97,2,11,PACKAGING_DÉCHIRÉ	 PAS_TRIANGLE,?	"
"179,5.97,2,12,PACKAGING_DÉCHIRÉ	 PAS_TRIANGLE	 MAL_ALIGNÉ,?"
"180,6.00,1,12,PACKAGING_DÉCHIRÉ	 PAS_TRIANGLE	 MAL_ALIGNÉ,?"
"181,6.04,1,11,PACKAGING_DÉCHIRÉ	 PAS_TRIANGLE,?	"
"182,6.07,0,,Aucune,		"
"183,6.10,0,,Aucune,		"
"184,6.14,0,,Aucune,		"
"185,6.17,0,,Aucune,		"
"186,6.20,0,,Aucune,		"
"187,6.24,0,,Aucune,		"
"188,6.27,0,,Aucune,		"
"189,6.30,0,,Aucune,		"
"190,6.34,0,,Aucune,		"
"191,6.37,0,,Aucune,		"
"192,6.40,0,,Aucune,		"
"193,6.44,0,,Aucune,		"
"194,6.47,0,,Aucune,		"
"195,6.51,0,,Aucune,		"
"196,6.54,0,,Aucune,		"
"197,6.57,0,,Aucune,		"
"198,6.61,0,,Aucune,		"
"199,6.64,0,,Aucune,		"
"200,6.67,0,,Aucune,		"
"201,6.71,0,,Aucune,		"
"202,6.74,0,,Aucune,		"
"203,6.77,0,,Aucune,		"
"204,6.81,0,,Aucune,		"
"205,6.84,0,,Aucune,		"
"206,6.87,0,,Aucune,		"
"207,6.91,0,,Aucune,		"
"208,6.94,0,,Aucune,		"
"209,6.97,0,,Aucune,		"
